timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
65,1.4,1.934105632935885,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.011952152809602122,-0.0658696425383449,-0.0658696425383449,-0.03490186643286481,0.0,0.0,0.0
66,1.4,1.9331108460132083,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.012947028339943004,-0.06686370930633985,-0.06686370930633985,-0.03589639771750134,0.0,0.0,0.0
67,1.4,1.9321162436501464,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.013941710353846611,-0.06785758257002895,-0.06785758257002895,-0.03689073549086428,0.0,0.0,0.0
68,1.4,1.931121829823079,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.01493619487667534,-0.06885125835477444,-0.06885125835477444,-0.03788487577831595,0.0,0.0,0.0
69,1.4,1.9301276085075871,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.01593047793462524,-0.06984473268677217,-0.06984473268677217,-0.03887881460605233,0.0,0.0,0.0
70,1.4,1.9291335836784385,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.016924555554741906,-0.07083800159306756,-0.07083800159306756,-0.039872548001118925,0.0,0.0,0.0
71,1.4,1.9281397593095708,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.017918423764936357,-0.07183106110157145,-0.07183106110157145,-0.04086607199142668,0.0,0.0,0.0
72,1.4,1.9271461393740767,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.018912078594000913,-0.07282390724107596,-0.07282390724107596,-0.04185938260576784,0.0,0.0,0.0
73,1.4,1.9261527278441872,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.019905516071625075,-0.07381653604127042,-0.07381653604127042,-0.04285247587383182,0.0,0.0,0.0
74,1.4,1.925159528691256,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.02089873222841139,-0.07480894353275719,-0.07480894353275719,-0.043845347826221105,0.0,0.0,0.0
75,1.4,1.9241665458857433,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.021891723095891324,-0.07580112574706756,-0.07580112574706756,-0.04483799449446707,0.0,0.0,0.0
76,1.4,1.9231737833972007,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.022884484706541128,-0.07679307871667759,-0.07679307871667759,-0.04583041191104589,0.0,0.0,0.0
77,1.4,1.9221812451942546,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.023877013093797687,-0.077784798475024,-0.077784798475024,-0.046822596109394383,0.0,0.0,0.0
78,1.4,1.9211889352445906,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.024869304292074387,-0.07877628105651997,-0.07877628105651997,-0.04781454312392585,0.0,0.0,0.0
79,1.4,1.920196857514938,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.025861354336776957,-0.07976752249657108,-0.07976752249657108,-0.048806248990045945,0.0,0.0,0.0
80,1.4,1.919205015971053,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.02685315926431933,-0.08075851883159106,-0.08075851883159106,-0.049797709744168514,0.0,0.0,0.0
81,1.4,1.918213414577704,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.027844715112139467,-0.08174926609901768,-0.08174926609901768,-0.05078892142373145,0.0,0.0,0.0
82,1.4,1.9172220572986545,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.028836017918715217,-0.08273976033732863,-0.08273976033732863,-0.05177988006721253,0.0,0.0,0.0
83,1.4,1.9162309480966488,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.029827063723580134,-0.08372999758605727,-0.08372999758605727,-0.05277058171414522,0.0,0.0,0.0
84,1.4,1.9152400909333949,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.030817848567339316,-0.08471997388580851,-0.08471997388580851,-0.05376102240513454,0.0,0.0,0.0
85,1.4,1.9142494897695486,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.03180836849168523,-0.08570968527827465,-0.08570968527827465,-0.05475119818187289,0.0,0.0,0.0
